Name,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,Bad Sats,R95,Residual,Time Error,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
Caterpillar,25-Jan-2025,13:00:02,1,,,,0,4,,,,,,,,,,,,,,,15,29,9638,,,,31,9474,,,,25,22580,,,,28,25818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,25-Jan-2025,15:12:04,1,,,,0,6,,,,,,,,,,,,,,,15,31,11662,,,,28,3028,,,,18,6498,,,,16,31390,,,,29,21348,,,,26,7713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,25-Jan-2025,17:28:25,1,,,,0,4,,,,,,,,,,,,,,,15,27,30165,,,,23,25393,,,,18,15310,,,,26,31799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,26-Jan-2025,05:19:53,1,,,,0,5,,,,,,,,,,,,,,,15,7,29169,,,,5,15005,,,,13,21443,,,,30,16692,,,,29,4144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,26-Jan-2025,07:31:50,1,,,,0,4,,,,,,,,,,,,,,,15,23,8719,,,,15,28370,,,,13,12725,,,,24,31832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,26-Jan-2025,11:00:40,1,,,,0,5,,,,,,,,,,,,,,,15,32,11780,,,,12,4224,,,,10,30530,,,,25,8586,,,,24,14454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,26-Jan-2025,17:57:34,1,,,,0,5,,,,,,,,,,,,,,,15,27,31296,,,,8,961,,,,26,27929,,,,7,9049,,,,16,31286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,26-Jan-2025,20:58:44,1,,,,0,6,,,,,,,,,,,,,,,15,32,4598,,,,8,6865,,,,27,28995,,,,10,22607,,,,21,19076,,,,3,18495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,28-Jan-2025,05:46:52,1,,,,0,4,,,,,,,,,,,,,,,15,30,15288,,,,22,3640,,,,14,4195,,,,20,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpillar,28-Jan-2025,06:59:13,1,,,,0,7,,,,,,,,,,,,,,,15,22,9131,,,,14,10898,,,,30,8321,,,,5,1374,,,,13,2532,,,,20,27291,,,,15,14634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
