"","id","date","lon","lat","x","y","x.se","y.se","logit_g","logit_g.se","g"
"9268","Selkie",2025-04-07 22:00:00,0.531096775173768,50.509026404714,59.1214225742935,6501.90667419232,1.71436761950081,1.15451290092102,2.14179456698657,1.67316397827163,0.894899517001747
"9269","Selkie",2025-04-08,0.529632577866404,50.5050286978984,58.958428875617,6501.20883718691,2.50079857325777,1.58455170383193,2.28196867893927,1.63857914062912,0.907372642237416
"9270","Selkie",2025-04-08 02:00:00,0.505800817573024,50.5021486527517,56.3054894550505,6500.70613525769,1.8474940142063,1.3228477248113,2.49245585837632,1.55324692828445,0.923611252426585
"9271","Selkie",2025-04-08 04:00:00,0.521014274777573,50.497728793037,57.9990437642661,6499.93472395958,0.304667651701547,0.226793295685069,2.65919445478844,1.45312122594705,0.934575429399122
"9272","Selkie",2025-04-08 06:00:00,0.627433105312275,50.5163148753071,69.8455337902049,6503.17909760366,1.72814587072746,1.21522361234574,2.88606820704773,1.26165707719826,0.947153425977544
"9273","Selkie",2025-04-08 08:00:00,0.766552031772977,50.5430716529634,85.332181843517,6507.85199842543,1.9155012734748,1.33417998956207,2.87632454733505,1.28002028378956,0.946663588346654
"9274","Selkie",2025-04-08 10:00:00,0.879109260068405,50.548861308783,97.8619951824664,6508.86347571218,2.56566400276504,1.66528990740774,2.86123308903952,1.31148031045565,0.945896439242223
"9275","Selkie",2025-04-08 12:00:00,0.977476285747735,50.5446189189893,108.812162391938,6508.12230009935,1.88065013438899,1.19005678548153,2.87054824878454,1.302880339556,0.946371179947542
"9276","Selkie",2025-04-08 14:00:00,1.03949018216054,50.5333100900124,115.715517762719,6506.14689488817,1.24999354591497,0.89173905286086,2.87851545425183,1.3060090621149,0.946774102634134
"9277","Selkie",2025-04-08 16:00:00,1.05466493577592,50.5049768665715,117.404763608096,6501.1997899355,1.48294352532069,1.10294861526097,2.96442783957343,1.13551140473275,0.950940975476273
